时间,城市,昵称,性别,等级,评分,评论
2018-09-21,玉环市,阿陈,2,4,5,没看过原著的 表示超好看 演员也选的不错  剧中顾森西完美
2018-09-21,青岛,kbF650573962,2,4,5,没有什么感受。就想都掐死呢些烂人
2018-09-21,常州,lisakalla,2,4,4,真的很好看，年轻演员演的也很好！
2018-09-21,武安,AAJ221150580,0,3,4.5,非常喜欢任敏演的易遥，期待你下一步作品。加油加油加油！
2018-09-21,惠州,kele52000,2,1,5,整部片很压抑，是我第一次看电影看到泪崩止不住，真的超赞👍
2018-09-21,普宁,酷大爷,2,6,5,有点悲伤，但是还是可以的
2018-09-21,涟源市,pOd354056034,0,4,5,愿你的青春，能被温柔以待
2018-09-21,沅江,rct213424320,2,3,5,很喜欢这个电影 这种校园暴力就是要放大，校园暴力让多少人对青春获得恐惧，让多少人为此丧失生命，让多少人一生都活在恐惧中，易瑶在准备跳河之前的那段对话说出来了多少被欺凌被欺负的人的心声，被欺负的人内心深处有多么的绝望多么的渴望被人救赎。而且女主角演技很棒！！
2018-09-21,淮南,yaK124178491,0,2,5,超好看，哭了两次，非常感人，值得一看！
2018-09-21,武汉,海牙萨琪,1,3,3,还原原作感觉还可以，演员演技还有很大提升空间，最后结局有所修改，只是片中易瑶的一些台词有些念的生硬，需要更好的处理。另外片头单位超长镜头有些别扭
2018-09-21,武汉,冰箱上的咕咕,0,3,5,不错看的很感人
2018-09-21,天津,zMJ750522853,1,3,5,很有教育意义  看看挺好的
2018-09-21,太仓,nDd170094795,2,4,5,巨好看！虐到哭死
2018-09-21,烟台,YaoLLLLLlllll,2,2,5,简直太好看啦
2018-09-21,烟台,恃宠而骄7667,2,2,5,完美，太好看了
2018-09-21,杭州,aZp595045682,0,2,5,好看好看好看
2018-09-21,北京,星叶.江江,2,2,5,小说还原的挺好
2018-09-21,东海,道格呜呜,2,3,3,还是不要去为青春买单了吧
2018-09-21,武汉,君悦君兮君不知L,1,3,5,看这个电影有想进去扇唐小米巴掌的冲动
2018-09-21,东莞,ZDQ2015,0,2,4.5,"这个世界上的阴暗面实在是太多了，其实现实生活中类似的这种事情也很多，青春本来应该是很美好的，但现实却会让你喘不过气来，我们要学会坚强，电影里教会我们要学会乐观，坚强，勇敢，给人以温暖，遇事不能软弱，要懂得如何去反击，才能保护自己不被伤害，也让伤害你的人不敢再去做伤害别人的事。电影拍的很感人，很赞的一部电影，更揭露了这个社会的阴暗面，让更多的人去重视与遏止这种事情的再发生
值得推荐"
2018-09-21,大理,Warm0524,0,3,5,女主演技棒 男主都帅
2018-09-21,大连,aNz987828019,0,3,4.5,很感人，就虽然演员很新，可是，都不错，就是内容改动了
2018-09-21,南京,即墨思归,2,2,2,全篇就在说一个悲情的女主。。。
2018-09-21,孝昌县,ZtN205470927,0,3,5,"宁人心疼的女主，宁人心痛的现实
没勇气再看第二遍的电影
全程哭死……
值得一看"
2018-09-21,锦州,TjJ966319234,0,1,5,不错，值得一看，跟亲身经历有点类似，批判现实
2018-09-21,顺德,ved865976965,2,3,4.5,自己一个人去看的，还把我看哭了😂
2018-09-21,长丰县,年少轻狂27384,1,2,5,好看啊 非常喜欢
2018-09-21,南通,树上的野草莓,2,3,5,没看过原著，光电影而已我觉得还是可以的
2018-09-21,霸州,Q1383,1,3,5,和原著真的有差。
2018-09-21,德惠市,PdM964486759,0,2,5,结局略有不同
2018-09-21,高碑店,HLs508508667,2,3,4.5,反正我哭了🙃
2018-09-21,绵阳,表。砸。,1,2,4.5,我也遭受过校园里的语言暴力，现在当老师了，我会注重孩子的成长会把这样的事情扼杀在摇篮里
2018-09-21,郑州,张雨菲_,2,1,5,看过最好的国产电影 唯一没有失望的电影！！！！太好看了一定要备好纸巾！！！
2018-09-21,天津,LovingStrangers.,1,3,5,结尾一句愿我们所有人的青春都可以被温柔以待，结合剧情以及真实的回忆确实有很大的感触。并不是所有的善良都要被发现、被遇见，可以不爱但不要伤害。
2018-09-21,运城,zCL677937327,0,2,4,原每个人的青春都被温柔对待。不错的电影，最后看哭了。
2018-09-21,恩施,谢小灰丶,1,4,5,讨厌唐小米 还有那个胖胖的那个女的
2018-09-21,南昌,農坤,0,2,5,男主很渣，被男二圈粉，女主很惨，女二很恶心，女三是天使，看的哭的喘不过气
2018-09-21,银川,tvP196531045,0,4,5,悲伤逆流成河小说谁看过
2018-09-21,泰州,_qqchm1435145662,0,2,0.5,这个电影好评绝对是刷出来的，一看到郭敬明监制心里就凉了半截，看了一会真被我猜对了，还是关于校园早恋之类的话题，真是无聊到极点
2018-09-21,长清区,小芷Jessica,0,3,5,好看好看 喜欢
2018-09-21,漯河,潜伏在家中的卧底,0,2,5,好看  可以当个教育片了
2018-09-21,合肥,Gog432335888,0,2,5,好看好看好看
2018-09-21,大连,刘侃侃,2,1,4.5,开篇有些过于沉浸在悲伤之中，但剧情却没怎么现，若没看过小说会有些看不懂吧，后面泪点很感人，结尾自杀高潮令人深思
2018-09-21,福州,稀盐酸酸不酸731,2,2,5,笑点哭点都很足，主角们颜值都在线。剧情很流畅，没有小时代那么生硬。很惊喜，比预期好很多
2018-09-21,长沙,hty193926498,0,4,5,虽然没有遇到过校园霸凌，但是同情所有遇到过如同的境遇的学生时代，人的青春在校园时代都是最珍贵的回忆，所以不要去轻易伤害每个人的青春年华！因为她有自己的人生！
2018-09-21,北京,Jwf921380027,0,3,5,怎么说呢，别人欺负你说明你无能，当学生会主席那会记了好多欺负人瞎能嘚瑟的人的过🙄 🙄 你要强大起来，知道么！？？
2018-09-21,南京,GAS120588892,0,2,4.5,"没有书里面那么死虐死虐的
但是9.0分的评分也不是白评的了
冲着赵英博的荧幕首秀去看的 
结果发现里面主演配角们的颜一个比一个能扛
不过辣目洋子出演也是出乎意外了...
庆幸小四这次只是编剧
终于没有把这本书拍成商业片【鼓掌】"
2018-09-21,长沙,AGV519812298,0,4,3.5,郭敬明的东西总是优美有余，但内容欠缺。书是这毛病，拍成电影也没能摆脱。影片唯一让我想多说两句的就是女主演技不错，表演自然，把每个情绪正确表达到位了，可以说给片子提色不少，算是帮了导演一把。
2018-09-21,沈阳,Dr.XIN-Z,1,2,5,超赞超赞超赞
2018-09-21,固始县,记小薏。,0,2,5,真的特别适合女生看，看的哭的稀里哗啦的，值得推荐
2018-09-21,洛阳,冯瘦瘦509,0,2,5,郭敬明的作品都太扎心了
2018-09-21,成都,cello5555,0,2,5,抱着可能会看一场狗血剧的心态去的，没想到被落落拍得很好 ，我的抖音女神章若楠把顾森湘演得美出了天际！台词很经典！配音很高水平，落落救了郭敬明的作品
2018-09-21,萍乡,呵呵哒0927,0,2,5,喜欢，顾森西就是那个能为易遥背叛全世界的人
2018-09-21,滕州,BOD885430504,0,2,4.5,哭的很惨  泪奔的有三点 第一个是易遥最好的朋友也是懵懂喜欢的齐铭误会 她的宣泄和哭泣 第二个是易遥的妈妈既让恨又让我哭 恨得是易遥换校服的钱都不给还骂的很难听 而且她做按摩让易遥染上了性病  哭的是她偷偷给易遥攒学费给人做按摩  第三个是易遥跳海呐喊 顾森西不犹豫的跳下去救了她 之前所有人都误会是易遥害死了顾森西的姐姐顾森湘
2018-09-21,贵阳,大嘻嘻756,0,2,5,很好看，不错
2018-09-21,呼和浩特,张宇.....universe,1,4,5,愿每一个人的青春都是快乐的
2018-09-21,洛阳,eYQ325389184,2,4,5,很真实。很感人。
2018-09-21,北京,FUN_LOVE_JIA,1,3,4.5,悲伤，逆流成河。
2018-09-21,南川,xzv812969760,0,4,5,反映这个社会，希望引起这个社会的反思
2018-09-21,珠海,怀念爱你的日子,1,3,5,很值得去看，校园欺凌真的是太恐怖了，希望所有人的青春，都可以被温柔对待
2018-09-21,广州,用青春换浪漫,0,2,5,特别好看，也给我哭够呛，大家去了记得带纸，哭的痛快
2018-09-21,湖州,nan々,2,3,5,有点压抑 还不错啦
2018-09-21,大连,dYw580389222,0,3,4.5,演的不错，女一号，2
2018-09-21,北京,ysp456424864,0,5,5,"非常好，久久不能平静
"
2018-09-21,襄阳,张怡凡_baby,2,3,2,不符合逻辑 老师不会做心脉复苏这是瞎搞啊
2018-09-21,亳州,GGH164284017,0,3,5,很有感触！！！
2018-09-21,青岛,Zzb618426956,0,3,0.5,烂片，当个小说还行，拍成电影还不足，没有任何原因，很生硬的拍成这个样
2018-09-21,常州,upG418508951,0,2,5,中学时代就已经在看这本书。虽然改编了，变成了教育主题的，算回忆吧。原著很虐！
2018-09-21,兰州,呼啦co,0,3,3,恒大影院，先是自助取票机取不了票，然后看电影看到一半多大屏幕黑掉，真是醉人，等了那么久还修不好，完了还让我们换场次，态度也很冷淡，活久见，WTF？
2018-09-21,西安,MCP86592386,0,2,5,电影挺好看的
2018-09-21,扬州,gmV789176490,0,3,4.5,"看了《悲伤逆流成河》这部电影，真的出乎我的意料，很好看，年轻演员的演技稍微有点尴尬，但是女主易瑶真的演的好好。
《悲伤逆流成河》这本小说，可以说陪伴了一半时间的高中，看了数不清多少遍，每次学习厌烦了，就从书架上取下来看个几章。
看这本书的时候，很羡慕易瑶和齐铭之间超越爱恋的存在，很喜欢易瑶的洒脱，顾森西的阳光，很讨厌齐铭对易瑶只是友谊，很讨厌顾森湘的完美。
小说从头至尾很压抑，电影也是一样，很丧。从电影一开始，放出那条胡同，我的眼泪就出来了，就觉得这条胡同和你心中的胡同一模一样啊。后来，好多情节，比如易瑶妈妈拉易瑶的手说：妈带你去看病；比如，易瑶在河边说的那些话；闷的喘不过气，又感动伤心到痛哭"
2018-09-21,南京,浅曦兮,0,2,4,还不错  超出期待  看的我们都哭了😂 很有意义的一部电影   剧本改编的也不错   如果是郭敬明拍的话最后肯定都死了  校园暴力真的很可怕
2018-09-21,宿迁,Abr407848874,0,2,5,女主跑的太慢，被救起来了。男主不会CPR
2018-09-21,银川,oyy807102178,0,3,5,看的好心塞，还在悲伤中
2018-09-21,郑州,lzd1997anthony,1,2,5,"[cp]#悲伤逆流成河#这是一部无条件强烈推荐的电影，前半部分其实我感受不是很深，但是当森西出场的时候我觉得，一个不被人喜欢的女孩身边也会有这么温暖的人，在任何黑暗世界的背后也总会存在那么温暖的一个人，当最后易遥跳河的时候，也是森西义无反顾的跳了下去，森湘这么美丽温暖善解人意也不应该成为校园暴力的牺牲品。愿这个世界都充满温暖跟阳光，每一个人身边都有一个守护他的人[给你小心心]
看完电影想强烈安利幸云来小哥哥，太棒了！你好，我叫顾森西，太阳从西边出来的西！[/cp]"
2018-09-21,上海,TQe611858550,0,1,5,好看好看非常好看
2018-09-21,舟山,果粒小童鞋,2,2,1,难看难看难看
2018-09-21,达州,YEw237037892,0,2,5,太好看了，很感人
2018-09-21,永丰,jsh263847168,0,2,5,很悲伤，男主就是个渣男，但是很好看
2018-09-21,昆明,KCs380156280,0,2,5,很好看，而且看了很感动，大家去看吧。
2018-09-21,湖州,zgv931706036,2,4,4,一直觉得郭敬明的小说充满无病呻吟的悲凉感，果然啊，五脏六腑的悲伤逆流成河。。。全剧就喜欢顾森西😊😊
2018-09-21,驻马店,也许你喜欢梅西,1,1,5,电影很细节，剧情很完美，点到为止
2018-09-21,长沙,赵腿腿,2,3,5,真的拍的很符合现在的校园环境，反对校园暴力，
2018-09-21,天津,AUa159282995,0,2,5,超级好看！给我哭的 🙊女主演的太好啦！喜欢，满分 🍀🍀🍀
2018-09-21,合肥,wyzgalaxy,0,2,5,感触很深，校园暴力影响着下一代孩子们，希望所有的小朋友都可以健康快乐的长大！
2018-09-21,丽江,来日方长4643,2,3,5,结束为了开始
2018-09-21,贵阳,SsS585866920,0,2,5,画面很好 欺凌的情节安排也恰到好处 看哭了 出来一直很压抑 好喜欢顾森西，可惜没救回易遥，这样一个人见人弃说话再大声都没有人听得见的易遥可能真的只有死了才能以此明志吧
2018-09-21,深圳,梁柱炳,1,4,3.5,改得比较符合社会主义价值吧 和郭老板狗血可恨的小说不是一个内核 演员演技跟不上颜值吧 看的时候就出戏。。 但是这片内容方面确实还挺有意义的 可能会给以后校园欺凌的国产电影开个先河吧 就不把分评太低了
2018-09-21,长兴,Gpy738476532,0,4,1.5,还没看过的小伙伴可以不用看了吧。现实主义题材的电影需要什么？不是帅哥美女，也不是唯美的画面，我们要的是震撼力，能够让人记住的震撼！这样才能让人在记忆中挥之不去，让人反思！还有，绝望不是说出来的，长期被欺凌的人哪来那么多叽叽歪歪的屁话！
2018-09-21,西安,Rachel_217,0,2,5,上学的时候看过小说，今天看仿佛记忆被拉回到校园时光。自己目前也从事着教育工作，看到校园暴力，内心特别心痛。愿你我的青春都能被温暖以待！
2018-09-21,长春,Cctl_,0,3,5,求求学生们看看吧！这部电影真的很令人深思！！
2018-09-21,太原,bhs825213971,0,3,5,催人泪下十分感人
2018-09-21,深圳,xZa903858266,2,2,4.5,影片的故事讲的很平淡，但是却深入人心，很贴切，明确表达了人们日常的一两句玩笑却给人带来的无穷伤害，建议所有的学生都应该去看看。
2018-09-21,宁波,vep115225174,0,4,3,"1.顾森西帅，包揽笑点
2.女主水灵，台词过于多愁善感，琼瑶剧即视感
3.邬君梅演技在线
然后就没然后了，不想吐槽"
2018-09-21,深圳,林先生10,2,1,5,最后的再见青春
2018-09-21,南昌,薇哈姐姐,0,3,5,看了，超级好看。
2018-09-21,蚌埠,RDd292045749,2,3,5,特别特别好看  剧情完美还原小说 演技赞
2018-09-21,哈尔滨,Awn954252441,0,2,4.5,故事性强，挺贴近生活的，也很震撼人心，
2018-09-21,北京,杨谨婕了啦,2,3,2.5,小说那么不好看……电影能拍出什么花来……
2018-09-21,海城,Nnx511624600,0,2,5,很好看 很感人 想起了很多事 一句话也不想说 只想静静地待着
2018-09-21,宜昌,StB368725348,2,3,5,挺有感触的吧 现在新闻上这些都太多了 突然觉得自己的高中时代还是挺美好的
2018-09-21,南昌,umQ570401658,0,3,5,泪点很多，伤痛的作品，很喜欢！
2018-09-21,苏州,忘掉名字吧吧,0,3,3,看了热搜以为超级无敌巨好看的 很多年前也看了小说 很期待 结果悲剧被当成喜剧看了 哇 男主这演技 哎
2018-09-21,北京,bOW710266617,0,4,4,给我留下童年阴影的是小学的一个语文老师，恨她一辈子
2018-09-21,成都,狗毛丶,1,4,5,校园欺凌在每个国家每个城市每个学校都有，只是很多人看见了并不会出手帮助，杜绝校园暴力，希望以后别再有校园欺凌事件发生，😔
2018-09-21,海门,跌入一角天青色,0,3,4.5,落落的第二部电影对于镜头的细节处理越来越好了
2018-09-21,青岛,xf幸福啊,2,2,5,一定要带着纸巾去看，校园暴力真的很可怕，你的一句我开玩笑的啊，你那么当真干嘛。是最恶心的！！
2018-09-21,深圳,Hka180229292,1,2,5,女主好惨啊，不忍心看剧版的了！怕小爽被虐得不要不要的！
2018-09-21,乌鲁木齐,柯南0o0,1,3,4,给个八分吧    感觉剧情还可以   全场两个大男人看这个电影
2018-09-21,南京,YeeR葉小國,1,4,0.5,我并没有针对什么
2018-09-21,湘潭,HiA791649415,0,2,3,很好看，愿世界所有的生命都被温柔对待
2018-09-21,长春,zwg833791948,0,2,5,真的是特别好的一部电影，改编的恰到好处，慢镜头也很好，很推荐让学校组织学生看，意义真的很大。反正最后哭了，提示多带纸巾
2018-09-21,深圳,安安panlei,2,4,4,和原著改了很多。摄影师也不知道为什么一直晃镜头，晃得头都晕了………演员都还不错，希望校园暴力真的能够被消灭
2018-09-21,焦作,天使百合654,2,2,5,愿我们有一颗温暖的心，温暖身边的人！
2018-09-21,南京,c1yan9,0,4,5,是哭的泪流满面的一部电影了，还想下次再看啊。
2018-09-21,成都,李879307253,1,3,0.5,年轻人的伤非感，不是很喜欢这种，觉得是烂片
2018-09-21,马鞍山,uzr162155224,0,2,5,贼好看 仙人掌做不了花 没办法让人捧在手心里
2018-09-21,南通,。。42640,2,4,5,愿所有青春，都能温柔以待
2018-09-21,大石桥,HNG532332297,0,2,4.5,最后看哭了，但感觉很压抑
2018-09-21,韶关,nsJ398443800,0,3,5,片子拍的很好，校园暴力这个问题，真的需要每一个人去正视
2018-09-21,长沙,Ign283122864,0,2,5,超好看，后面好感人
2018-09-21,句容,你亲爱的妈咪,0,2,5,挺好看的。。
2018-09-21,威海,qqpopoqq,2,3,5,必须十分，是我心中的悲伤逆流成河，结局改了一下，美好了一些，生活这么苦，总该有点甜
2018-09-21,天津,PUk391442296,0,4,5,愿我们都被温柔以待
2018-09-21,上海,XNO945246060,1,3,0.5,被预告片  骗了
2018-09-21,南通,小魏子v,0,4,5,希望票房大卖，很好看的一部电影！
2018-09-21,荆州,糖糖Linda520,2,4,2,为什么改了结局？？？不好看
2018-09-21,海宁,PAnNaaaaa,2,3,2,不好看。跟小说出入太大了。
2018-09-21,临沂,ljw春暖花开,0,3,5,感触很深，很怀念逝去的青春岁月……时光慢些吧！别带走那些我们不愿意走散的人……
2018-09-21,深圳,hBe109856809,0,2,4.5,我读书的时候看这本小说 看了三四遍 那时候看 都是躲被子里看 看了好几天 怕我老爸说我。看得我眼睛都哭瞎了 易遥太惨了。齐铭你喜欢易遥为什么不深爱 为什么不相信她 啊西 易遥好不容易只有你一个对她好。她好不容易喜欢上你了 你却不信她 你不相信她是不可能害你姐的 都在逼她 小时候看了好多郭敬明的小说超级棒 那时候在想郭敬明长什么样子。现在长大了才知道郭敬明长这样 身高不重要 重要的是才华 你的才华无与伦比啊 明天去看 我会带好纸巾的😂😂
2018-09-21,常州,_qq5k41442570697,2,2,5,实在是太好看了，泪点很多，安利安利
2018-09-21,慈溪,蓝家白菜。,0,2,5,刚开始觉得很尴尬，但是后面真的很感动，但是真的非常讨厌齐铭。
2018-09-21,阜阳,etP818141396,0,3,5,不是烂片。真的，这部电影上升了另一个高度，配乐好听
2018-09-21,常德,喜闻乐见喜闻乐见,0,5,5,国产精品国产精品国产精品
2018-09-21,郑州,初音935,2,3,4,每个人都值得被温暖包围，如果你做不到勇敢地站出来，那你也不要去当那个刽子手，愿世界每个人都被温柔以待……
2018-09-21,佛山,jAS714627396,0,2,5,超级好看，感人至深
2018-09-21,武汉,wsl8,0,3,4,《悲伤逆流成河》是一部反映校园欺凌的影片。根据郭敬明同名小说改编。虽然导演是落落，但是依然可以看到影片里有郭敬明一贯风格。我个人觉得，这部电影才是郭敬明内心的真实世界，也是郭敬明个人性格的又一次呈现。虽然影片和小说原著有一些区别：在情节设计上更有主题针对性：校园欺凌事件。但是就该影片本身而言，是佳作。演员已经将需要表达的情绪完全释放出来了。加上实力派演员邬君梅的助攻，该片是很发人深省的，非常值得一看。
2018-09-21,邳州,吃吃不来！,0,4,4.5,😭😭😭泪奔！我看到唐小米就生气
2018-09-21,北京,song2shaonai,2,5,5,很是愤怒，从小我也是弱势的孩子，因为善良所以更受欺负，一次次很压抑，后来我选择无视，暴怒，在别人看来，我是一个很严格的人，看起来不好相处，自带⚡️՞网՞，眼神具有杀伤力，其实这都是多年来，积赞下来的怒气。我今天带七岁的儿子去看这个电影，因为我儿子和我一样，也非常善良，总选择忍让，我告诉他，一旦你第一次软弱和妥协，就造就日后长达十多年甚至至今的欺凌。我们不伤害人，我们甚至出手去保护受害人，不伤害别人却不向她伸出援手，等同于谋杀从犯。我们只想保护自己，让自己身体上，心灵上，语言上，都立起你坚硬的刺，不要伤害我，我也不会欺负你。希望生活中少些这种仗势欺人的无耻之徒，工作上也一样，宁可辞职也不妥协。
2018-09-21,商丘,至俗,2,2,4.5,相比书来说电影还是比较温暖的，弱化了很多不好的东西，主题比较明确，书是我几年前读的了，比电影压抑好多。
2018-09-21,巢湖,JNG715836591,0,2,3.5,远远超过预期，只是结局有点不满意，再悲一点或许会更好
2018-09-21,曹妃甸,王彤_man,1,3,5,好看好看好看，刷刷地掉泪
2018-09-21,成都,不甜不要钱813,2,1,5,超级棒的电影
2018-09-21,武汉,hylaou,2,3,5,前面觉得没什么，后面看的哭的喉头水肿！毫不夸张
2018-09-21,新郑,走在清冷夜的兔子,1,4,4.5,黑暗中你沉重的呼吸是清晨弄堂口熟悉的雾，你温暖的胸膛，缓缓的流淌着悲伤与沉痛的巨大河流
